B cells-B cells	B cells-Monocytes/Macrophage	B cells-CD8 T cells	B cells-CD4 T cells	B cells-Dendritic cells	B cells-T cells	B cells-NK cells	Monocytes/Macrophage-B cells	Monocytes/Macrophage-Monocytes/Macrophage	Monocytes/Macrophage-CD8 T cells	Monocytes/Macrophage-CD4 T cells	Monocytes/Macrophage-Dendritic cells	Monocytes/Macrophage-T cells	Monocytes/Macrophage-NK cells	CD8 T cells-B cells	CD8 T cells-Monocytes/Macrophage	CD8 T cells-CD8 T cells	CD8 T cells-CD4 T cells	CD8 T cells-Dendritic cells	CD8 T cells-T cells	CD8 T cells-NK cells	CD4 T cells-B cells	CD4 T cells-Monocytes/Macrophage	CD4 T cells-CD8 T cells	CD4 T cells-CD4 T cells	CD4 T cells-Dendritic cells	CD4 T cells-T cells	CD4 T cells-NK cells	Dendritic cells-B cells	Dendritic cells-Monocytes/Macrophage	Dendritic cells-CD8 T cells	Dendritic cells-CD4 T cells	Dendritic cells-Dendritic cells	Dendritic cells-T cells	Dendritic cells-NK cells	T cells-B cells	T cells-Monocytes/Macrophage	T cells-CD8 T cells	T cells-CD4 T cells	T cells-Dendritic cells	T cells-T cells	T cells-NK cells	NK cells-B cells	NK cells-Monocytes/Macrophage	NK cells-CD8 T cells	NK cells-CD4 T cells	NK cells-Dendritic cells	NK cells-T cells	NK cells-NK cells
IL20-IL10RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00178838184186039	0.00391857239922555	0.00145386951422981	0.00139279490827165	0.00314775284373884	0.00131410172900917	0.00084703353365729	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRL-IL13RA1	0.000420458357911036	0.00156444685584698	0.000279592402895006	0.000253667805715683	0.00213975676807276	0.000259095111519136	0.0001130410954518	0	0	0	0	0	0	0	0.00134591082734117	0.00505726357573836	0.000797631530809898	0.000811453336996072	0.00672134998486236	0.000764540546696998	0.00031274679598893	0.00134854319618964	0.0047216348064626	0.000889955076103785	0.000808099438957131	0.00640503990026545	0.000796410543685914	0.000372112960888667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPT2-FGFR1	0.000181475853227294	0.000953838210650817	6.96302809602222e-05	0.000132030195492913	0.00065093035276678	0.000128586281824876	4.10705832350741e-05	1.85881072117814e-05	0.000105823500838243	5.51615026711102e-06	1.38669313685677e-05	6.79149305663444e-05	1.15118806738224e-05	2.88146426757287e-06	0.000208675169132778	0.00110761319417782	7.13565303597733e-05	0.000151715549677353	0.000734488929833327	0.000136299597227607	4.08174634063571e-05	0.000436297130446748	0.00215788319263755	0.000166135522940982	0.000315278500770669	0.00146054045609499	0.000296274352616528	0.000101342344444753	6.57116621907966e-05	0.000336110613037986	2.13085706542421e-05	4.92650661196024e-05	0.000223978561422356	4.3105044512268e-05	1.14444703501756e-05	0.000149232993600618	0.000771227186953826	5.39482022616431e-05	0.000111590617515036	0.000518550899182609	0.00010265174984288	3.07895847523858e-05	8.60441234849732e-05	0.000461316756140145	3.0351575232498e-05	6.4320149042562e-05	0.000307583245827779	5.86828734443008e-05	1.71101249824881e-05
SOST-LRP5	0.00268242561883354	0	0.00120299947063055	0.00462952850197464	0.000454890815478137	0.000991018125060776	0.00096611953008678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00266045260348186	0	0.00109691757401212	0.00471776178430047	0.000449635705207567	0.000946071152735366	0.000841935153856149
PGF-NGFR	0.000121318801874493	0	4.45942321964219e-05	8.32290650469341e-05	0.000449109542340429	5.3825184951701e-05	3.09807406950951e-05	4.90204435982473e-05	0	1.39363624990589e-05	3.44837841813546e-05	0.000184848454245386	1.90094684938456e-05	8.57446372709468e-06	0	0	0	0	0	0	0	0.000114558266682911	0	4.17905279512864e-05	7.80604261787316e-05	0.00039579122603255	4.87101830643795e-05	3.00252536662558e-05	0.000310429797510617	0	9.6437633629851e-05	0.0002194585486386	0.00109203332972235	0.000127506015128895	6.10054040538765e-05	4.868276995267e-05	0	1.68600432533879e-05	3.43265846135041e-05	0.000174586362035553	2.09680678515161e-05	1.13335488903205e-05	0.000270595553779768	0	9.1443313530017e-05	0.000190738765538694	0.000998321929311295	0.000115555983776784	6.07161582467559e-05
GH1-IL10RB	0.0013320153396084	0.00299911380529814	0.00128127348621137	0.00100668581079106	0.002467182510032	0.001057226664132	0.000819800835508756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00302049164945955	0.00639957400470856	0.00288344118961059	0.00226735718317153	0.00522137937401278	0.00229758946210193	0.00190797788635688	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF22-MET	0.000179969922641955	0	6.61194799091013e-05	0	0.000666051540661856	0	0	3.40997587956108e-05	0	9.68952360167283e-06	0	0.000128550458635131	0	0	0.0004087765645342	0	0.000133844071162697	0	0.00148454272432103	0	0	0.000251896016429624	0	9.18441805945023e-05	0	0.000870051109426904	0	0	0.000146208066252713	0	4.53976526218596e-05	0	0.000514194660219943	0	0	0.000147334485459072	0	5.0999595911104e-05	0	0.000528230145822601	0	0	0.00015108513943212	0	5.10307520560933e-05	0	0.000557256883176893	0	0
CCL8-CCR10	4.54593751769378e-05	4.21345580100299e-05	0	2.91700014152212e-05	4.11257036914382e-05	3.65217895112297e-05	2.07919750459148e-05	0.00128773374819154	0.00129280238501465	0	0.000847285635413621	0.00118667112164431	0.000904253052544965	0.000403426485661	0.000198423941856251	0.000185725069882836	0	0.000127236572733665	0.000176150044462872	0.000146950364170024	7.84385525115054e-05	0.000493142398298037	0.00043010751401836	0	0.000314298936598152	0.000416368418873647	0.00037969671475832	0.00023149477499144	0.000439615138713307	0.000396525867242772	0	0.000290688482822183	0.000377929542106872	0.000326972388555556	0.000154734139727372	0.00044813085664135	0.000408395962282859	0	0.000295546790424445	0.000392740413780277	0.00034950963310634	0.000186854727196992	0.000118199146895504	0.00011175101277726	0	7.79289344224108e-05	0.000106568783077361	9.14023356712381e-05	4.75014174072864e-05
PDGFD-KIT	0.00013533879689253	0.000726180279914642	0	0	0.000500671511756554	5.96077055031759e-05	3.0876830931046e-05	1.50459300212551e-05	8.74444526962671e-05	0	0	5.66975147944975e-05	5.79207864159688e-06	2.35123204583088e-06	0.00036756317892225	0.00199166190059427	0	0	0.00133432422984238	0.000149231360699771	7.24779034088191e-05	4.03102699003134e-05	0.000203529587373289	0	0	0.000139175193469098	1.70149904204748e-05	9.43892817692644e-06	1.77190849097068e-05	9.25224943775418e-05	0	0	6.2290265277533e-05	7.22488994501381e-06	3.11094920271775e-06	0.000105212067446688	0.000555071980055986	0	0	0.000377056983254224	4.49853767823671e-05	2.18828014835438e-05	0.000490708602292401	0.00268576466868667	0	0	0.00180917269796315	0.000208026244779471	9.83680412176927e-05
PDGFB-IL15RA	0.000243312867089908	0.000163465409726836	0.000165205422007181	0.000152288341752861	0.000154382252203728	0.000151314486639939	6.46370862941297e-05	0.000781490240475448	0.000568689797017589	0.000410397208654863	0.000501551944186305	0.000505091745395581	0.000424790025222306	0.000142202194949603	0.000245652860207723	0.000166664879742681	0.000148649925356087	0.000153648494032348	0.000152951212937126	0.000140826784882988	5.64029390159902e-05	0.000433386019219518	0.000273984121687452	0.000292035039622318	0.000269422622569781	0.000256639057459338	0.000258301090235482	0.000118164809475707	0.0010547532859113	0.000689597346838639	0.000605260974563101	0.000680290907196035	0.000635962495691482	0.000607262094182456	0.00021562981188555	0.000128321370345761	8.4765941544876e-05	8.20901472480422e-05	8.25484609793335e-05	7.88755043808019e-05	7.74711737020997e-05	3.1077254270624e-05	0.000170524773941867	0.000116861220811274	0.000106445528617299	0.000109663088190912	0.000107831479286774	0.000102074504337001	3.98037620253765e-05
