B cells-B cells	B cells-Monocytes/Macrophage	B cells-CD8 T cells	B cells-CD4 T cells	B cells-Dendritic cells	B cells-T cells	B cells-NK cells	Monocytes/Macrophage-B cells	Monocytes/Macrophage-Monocytes/Macrophage	Monocytes/Macrophage-CD8 T cells	Monocytes/Macrophage-CD4 T cells	Monocytes/Macrophage-Dendritic cells	Monocytes/Macrophage-T cells	Monocytes/Macrophage-NK cells	CD8 T cells-B cells	CD8 T cells-Monocytes/Macrophage	CD8 T cells-CD8 T cells	CD8 T cells-CD4 T cells	CD8 T cells-Dendritic cells	CD8 T cells-T cells	CD8 T cells-NK cells	CD4 T cells-B cells	CD4 T cells-Monocytes/Macrophage	CD4 T cells-CD8 T cells	CD4 T cells-CD4 T cells	CD4 T cells-Dendritic cells	CD4 T cells-T cells	CD4 T cells-NK cells	Dendritic cells-B cells	Dendritic cells-Monocytes/Macrophage	Dendritic cells-CD8 T cells	Dendritic cells-CD4 T cells	Dendritic cells-Dendritic cells	Dendritic cells-T cells	Dendritic cells-NK cells	T cells-B cells	T cells-Monocytes/Macrophage	T cells-CD8 T cells	T cells-CD4 T cells	T cells-Dendritic cells	T cells-T cells	T cells-NK cells	NK cells-B cells	NK cells-Monocytes/Macrophage	NK cells-CD8 T cells	NK cells-CD4 T cells	NK cells-Dendritic cells	NK cells-T cells	NK cells-NK cells
IL20-IL10RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.45638606606167	1	0.371020199733238	0.355434266965928	0.803290719947129	0.335352162759295	0.216158704589634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRL-IL13RA1	0.0625556411819025	0.232757832782162	0.0415976557573547	0.0377406036416771	0.318352231752826	0.0385480762202032	0.01681821296412	0	0	0	0	0	0	0	0.200244122143973	0.752417830811993	0.118671328320397	0.12072773160505	1	0.11374806376976	0.0465303542730685	0.200635765021431	0.702483104896566	0.132407191726084	0.120228739877719	0.952939500947087	0.118489670301289	0.0553628306406792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPT2-FGFR1	0.0828743599638818	0.441278878742497	0.0309739040177651	0.0599297576076784	0.300718500578367	0.0583316550991287	0.0177211546815729	0.0072884595577976	0.047768888170932	0.00122259113060248	0.0050976604595599	0.0301779183945074	0.00400483038720227	0	0.0954958421406308	0.512636122452604	0.0317749471802022	0.0690644854017623	0.339492751181753	0.061910916916503	0.0176036977786922	0.201120797479363	1	0.0757558829416314	0.144963705778274	0.676407342341196	0.136145082617115	0.0456894669182727	0.029155520896379	0.154630571467089	0.00855085457430575	0.0215236958937911	0.102597178574896	0.0186652194822692	0.0039735495196469	0.0679124881462364	0.356540652645984	0.0236968431726951	0.0504450422551122	0.239289569064561	0.0462970791446988	0.0129503935506922	0.0385905301710843	0.212730823292346	0.0127471410362642	0.0285098076563776	0.141392824678002	0.0258939046043994	0.00660262148637703
SOST-LRP5	0.568580132163516	0	0.254993686759224	0.981297639355288	0.0964208953898223	0.210061077767563	0.204783449071504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.563922623718558	0	0.2325080460108	1	0.0953069963608256	0.200533896366632	0.178460717677162
PGF-NGFR	0.111094413121381	0	0.0408359625871125	0.0762147663277777	0.411259922308978	0.049288958026021	0.0283697757677157	0.0448891460214961	0	0.0127618472071747	0.0315775931400574	0.169269974838939	0.0174074068771131	0.00785183335867114	0	0	0	0	0	0	0	0.10490363578192	0	0.0382685462191081	0.0714817250116151	0.362435115541005	0.0446050333250946	0.0274948143513987	0.284267695006656	0	0.0883101559312023	0.200963233140875	1	0.11676018639588	0.0558640495610029	0.0445799305091242	0	0.015439128820065	0.0314336418854831	0.15987274132003	0.0192009412907271	0.0103783910086353	0.247790563176827	0	0.0837367423146931	0.174663868168922	0.914186318438757	0.105817268238657	0.0555991805325143
GH1-IL10RB	0.208141251062705	0.468642725764482	0.200212308705027	0.157305128442984	0.38552292827878	0.165202662451303	0.128102407270481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.471983236264976	1	0.450567676456131	0.354298142580006	0.815894834589161	0.359022250607846	0.298141389560158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF22-MET	0.121229197175356	0	0.0445386170609145	0	0.448657711058117	0	0	0.0229698736432167	0	0.00652694155778131	0	0.0865926298577394	0	0	0.275355203886878	0	0.0901584501206671	0	1	0	0	0.169679196363197	0	0.0618669837451178	0	0.586073472439015	0	0	0.0984869373291915	0	0.0305802264078472	0	0.34636568675052	0	0	0.0992457024276327	0	0.0343537407685111	0	0.355820103503044	0	0	0.101772173314325	0	0.0343747278000588	0	0.375372748825237	0	0
CCL8-CCR10	0.0351634369675319	0.0325916462550092	0	0.0225633876865802	0.0318112838962406	0.0282500944727262	0.01608287181933	0.996079341373538	1	0	0.655386813355868	0.917906043026723	0.699451875264536	0.312055802446889	0.153483582762729	0.143660834815624	0	0.0984191970934698	0.136254424113609	0.113668079416761	0.0606732733639073	0.381452265260515	0.332693936060061	0	0.243114446756369	0.322066561525509	0.293700506093989	0.179064316151316	0.340048211396457	0.306718081463221	0	0.224851443802749	0.292333574324732	0.252917531979839	0.119688934303457	0.346635233532826	0.315899759326504	0	0.22860940995332	0.303789982392263	0.270350393190509	0.144534639913179	0.0914286268849701	0.0864409085817033	0	0.0602790769306381	0.0824323843401273	0.070700933669922	0.0367429840460481
PDGFD-KIT	0.0503911599070628	0.270381202188403	0	0	0.186416746632303	0.022193942082172	0.0114964766984386	0.00560210289333073	0.0325584939424447	0	0	0.0211103807625194	0.00215658456942513	0.000875442317506031	0.136856063082395	0.741562328157434	0	0	0.496813531505298	0.0555638259895439	0.0269859471508576	0.0150088614874902	0.0757808715507507	0	0	0.0518195786443026	0.0063352499267164	0.00351442860462605	0.00659740785046941	0.0344492186736468	0	0	0.0231927487928392	0.00269006813189882	0.0011583104204878	0.0391739710754838	0.206671860169869	0	0	0.140390923914642	0.016749560118521	0.00814769876850169	0.182707222272142	1	0	0	0.673615495451368	0.0774551274744391	0.0366257112414075
PDGFB-IL15RA	0.207326933775257	0.129326223692109	0.13102599219949	0.118407663885584	0.120453145450206	0.117456332524077	0.0327836453977714	0.733057103038854	0.525178402277641	0.370546874850915	0.459593343376066	0.463051274498671	0.384606807996341	0.108554793942842	0.209612806498158	0.132451694951524	0.114853398391115	0.119736357962075	0.119055203892164	0.107211194968066	0.0247399411166988	0.393003990045661	0.237288810042288	0.254922238370131	0.232832811292019	0.220344910124739	0.221968502672354	0.0850733557427399	1	0.643289548855203	0.560903745467417	0.634198352661337	0.590895188247585	0.562858582307885	0.180284144505306	0.0949950111846237	0.0524469515889744	0.0498330442451195	0.0502807578938965	0.0466927510587214	0.0453209003605553	0	0.136222315811914	0.0837999170530167	0.0736251235909858	0.0767682660248827	0.074979019380901	0.0693551942918777	0.00852467722699945
IL24-EPOR	0.934153183728475	0.630712916445526	0.630005611639793	0.578194508232041	0.63881173426465	0.589889584612899	0.31066458315371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.635335808135481	0.66930977103036	0.614771101965765	0.638219905324442	0.605185535568657	0.341326662194474	0.445669149904914	0.292826315492915	0.254022073884113	0.284256650465147	0.289611418691222	0.260540388065051	0.114058443658881	0.943706667743463	0.626487284550793	0.599647695005648	0.60034555324383	0.625176543337807	0.578515990739992	0.286113024167507	0.93302766313711	0.642584569268864	0.578497597962376	0.593364817698948	0.635879891717003	0.567102438644804	0.272639081958266
ANGPT2-INSR	0.0473933861084159	0.441467613960508	0.0147783102271828	0.0284458522663323	0.377929976402715	0.0180051937149735	0.0132381977319235	0.00395783838028911	0.0480905505166894	0.000251020927406511	0.00209367795631792	0.0385367499153145	0.00070251107124688	0	0.0546463392192815	0.512800753292893	0.0151694521511196	0.0328359805237647	0.426572283263617	0.0191451615237535	0.0131504541433564	0.115343873603981	1	0.0366449339190804	0.0693129637030347	0.849231720237021	0.0427881816570012	0.0341313084953327	0.0165237770188844	0.154916136084791	0.0038293437905158	0.00998799116881533	0.129386729515598	0.00537173408014853	0.00296835252464522	0.0387955246825945	0.356758012318964	0.0112249891166371	0.0238875208281507	0.300867366801412	0.014172272324933	0.00967430585708727	0.0219456188368036	0.212996761725754	0.00587835143091168	0.0133454997174964	0.178055877036129	0.00767401560061051	0.00493234274833089
WNT11-FZD4	0.188087098514512	0.106487641475139	0	0	0.0467399205405911	0	0.0671126471554516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.556675120435732	0	0	0.240735327739782	0	0.325291203897733	0	0	0	0	0	0	0
