B cells-B cells	B cells-Monocytes/Macrophage	B cells-CD8 T cells	B cells-CD4 T cells	B cells-Dendritic cells	B cells-T cells	B cells-NK cells	Monocytes/Macrophage-B cells	Monocytes/Macrophage-Monocytes/Macrophage	Monocytes/Macrophage-CD8 T cells	Monocytes/Macrophage-CD4 T cells	Monocytes/Macrophage-Dendritic cells	Monocytes/Macrophage-T cells	Monocytes/Macrophage-NK cells	CD8 T cells-B cells	CD8 T cells-Monocytes/Macrophage	CD8 T cells-CD8 T cells	CD8 T cells-CD4 T cells	CD8 T cells-Dendritic cells	CD8 T cells-T cells	CD8 T cells-NK cells	CD4 T cells-B cells	CD4 T cells-Monocytes/Macrophage	CD4 T cells-CD8 T cells	CD4 T cells-CD4 T cells	CD4 T cells-Dendritic cells	CD4 T cells-T cells	CD4 T cells-NK cells	Dendritic cells-B cells	Dendritic cells-Monocytes/Macrophage	Dendritic cells-CD8 T cells	Dendritic cells-CD4 T cells	Dendritic cells-Dendritic cells	Dendritic cells-T cells	Dendritic cells-NK cells	T cells-B cells	T cells-Monocytes/Macrophage	T cells-CD8 T cells	T cells-CD4 T cells	T cells-Dendritic cells	T cells-T cells	T cells-NK cells	NK cells-B cells	NK cells-Monocytes/Macrophage	NK cells-CD8 T cells	NK cells-CD4 T cells	NK cells-Dendritic cells	NK cells-T cells	NK cells-NK cells
IL20-IL10RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.5638606606167	10	3.71020199733238	3.55434266965928	8.03290719947129	3.35352162759295	2.16158704589634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRL-IL13RA1	0.625556411819025	2.32757832782162	0.415976557573547	0.377406036416771	3.18352231752826	0.385480762202032	0.1681821296412	0	0	0	0	0	0	0	2.00244122143973	7.52417830811993	1.18671328320397	1.2072773160505	10	1.1374806376976	0.465303542730685	2.00635765021431	7.02483104896566	1.32407191726084	1.20228739877719	9.52939500947087	1.18489670301289	0.553628306406792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANGPT2-FGFR1	0.828743599638818	4.41278878742497	0.309739040177651	0.599297576076784	3.00718500578367	0.583316550991287	0.177211546815729	0.072884595577976	0.47768888170932	0.0122259113060248	0.050976604595599	0.301779183945074	0.0400483038720227	0	0.954958421406308	5.12636122452604	0.317749471802022	0.690644854017623	3.39492751181753	0.61910916916503	0.176036977786922	2.01120797479363	10	0.757558829416314	1.44963705778274	6.76407342341196	1.36145082617115	0.456894669182727	0.29155520896379	1.54630571467089	0.0855085457430575	0.215236958937911	1.02597178574896	0.186652194822692	0.039735495196469	0.679124881462364	3.56540652645984	0.236968431726951	0.504450422551122	2.39289569064561	0.462970791446988	0.129503935506922	0.385905301710843	2.12730823292346	0.127471410362642	0.285098076563776	1.41392824678002	0.258939046043994	0.0660262148637703
SOST-LRP5	5.68580132163516	0	2.54993686759224	9.81297639355289	0.964208953898223	2.10061077767563	2.04783449071504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.63922623718558	0	2.325080460108	10	0.953069963608256	2.00533896366632	1.78460717677162
PGF-NGFR	1.11094413121381	0	0.408359625871125	0.762147663277777	4.11259922308978	0.49288958026021	0.283697757677157	0.448891460214962	0	0.127618472071747	0.315775931400574	1.69269974838939	0.174074068771131	0.0785183335867114	0	0	0	0	0	0	0	1.0490363578192	0	0.382685462191081	0.714817250116151	3.62435115541005	0.446050333250946	0.274948143513987	2.84267695006656	0	0.883101559312023	2.00963233140875	10	1.1676018639588	0.558640495610029	0.445799305091242	0	0.15439128820065	0.314336418854831	1.5987274132003	0.192009412907271	0.103783910086353	2.47790563176827	0	0.837367423146931	1.74663868168922	9.14186318438757	1.05817268238657	0.555991805325143
GH1-IL10RB	2.08141251062705	4.68642725764482	2.00212308705027	1.57305128442984	3.8552292827878	1.65202662451303	1.28102407270481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.71983236264976	10	4.50567676456131	3.54298142580006	8.15894834589161	3.59022250607846	2.98141389560158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF22-MET	1.21229197175356	0	0.445386170609145	0	4.48657711058117	0	0	0.229698736432167	0	0.0652694155778131	0	0.865926298577394	0	0	2.75355203886878	0	0.901584501206671	0	10	0	0	1.69679196363197	0	0.618669837451178	0	5.86073472439015	0	0	0.984869373291915	0	0.305802264078472	0	3.4636568675052	0	0	0.992457024276327	0	0.343537407685111	0	3.55820103503044	0	0	1.01772173314325	0	0.343747278000588	0	3.75372748825237	0	0
CCL8-CCR10	0.351634369675319	0.325916462550092	0	0.225633876865802	0.318112838962406	0.282500944727262	0.1608287181933	9.96079341373538	10	0	6.55386813355868	9.17906043026723	6.99451875264536	3.12055802446889	1.53483582762729	1.43660834815624	0	0.984191970934698	1.36254424113609	1.13668079416761	0.606732733639073	3.81452265260515	3.32693936060061	0	2.43114446756369	3.22066561525509	2.93700506093989	1.79064316151316	3.40048211396457	3.06718081463221	0	2.24851443802749	2.92333574324732	2.52917531979839	1.19688934303457	3.46635233532826	3.15899759326504	0	2.2860940995332	3.03789982392263	2.70350393190509	1.44534639913179	0.914286268849701	0.864409085817033	0	0.602790769306381	0.824323843401273	0.70700933669922	0.367429840460481
PDGFD-KIT	0.503911599070628	2.70381202188403	0	0	1.86416746632303	0.22193942082172	0.114964766984386	0.0560210289333073	0.325584939424447	0	0	0.211103807625194	0.0215658456942513	0.00875442317506031	1.36856063082395	7.41562328157434	0	0	4.96813531505298	0.555638259895439	0.269859471508576	0.150088614874902	0.757808715507507	0	0	0.518195786443026	0.063352499267164	0.0351442860462605	0.0659740785046941	0.344492186736468	0	0	0.231927487928392	0.0269006813189882	0.011583104204878	0.391739710754838	2.06671860169869	0	0	1.40390923914642	0.16749560118521	0.0814769876850169	1.82707222272142	10	0	0	6.73615495451368	0.774551274744391	0.366257112414075
PDGFB-IL15RA	2.07326933775257	1.29326223692109	1.3102599219949	1.18407663885584	1.20453145450206	1.17456332524077	0.327836453977714	7.33057103038854	5.25178402277641	3.70546874850915	4.59593343376066	4.63051274498671	3.84606807996341	1.08554793942842	2.09612806498158	1.32451694951524	1.14853398391115	1.19736357962075	1.19055203892164	1.07211194968066	0.247399411166988	3.93003990045661	2.37288810042288	2.54922238370131	2.32832811292019	2.20344910124739	2.21968502672354	0.850733557427399	10	6.43289548855203	5.60903745467417	6.34198352661337	5.90895188247585	5.62858582307885	1.80284144505306	0.949950111846237	0.524469515889744	0.498330442451195	0.502807578938965	0.466927510587214	0.453209003605553	0	1.36222315811914	0.837999170530167	0.736251235909858	0.767682660248826	0.74979019380901	0.693551942918777	0.0852467722699945
